종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
SK스퀘어,0.8829,0.8787,0.7985,0.9741,3.26,12339
앤로보틱스,0.8599,0.8978,0.7627,0.9217,2.16,35
이수페타시스,0.8223,0.8542,0.7888,0.8263,1.87,1801
RF머트리얼즈,0.8156,0.846,0.6039,0.9993,3.48,190
피에스케이,0.8073,0.9441,0.7405,0.7398,2.75,862
주성엔지니어링,0.8002,0.8883,0.653,0.8617,2.37,8389
현대지에프홀딩스,0.7964,0.9292,0.72,0.7425,1.35,31
삼성전자,0.7836,0.8283,0.7047,0.8202,3.45,99316
코오롱생명과학,0.7825,0.9033,0.7239,0.7228,1.18,15
대원전선,0.7819,0.797,0.635,0.9162,2.28,691
삼영엠텍,0.7819,0.9237,0.7301,0.6941,1.29,15
네패스,0.7744,0.891,0.564,0.8706,2.05,182
샘씨엔에스,0.7724,0.9264,0.6076,0.7854,1.88,158
DKME,0.7694,0.9986,0.7157,0.596,1.06,18
일진전기,0.7596,0.6689,0.734,0.8781,2.46,465
엑시콘,0.7574,0.9114,0.581,0.782,1.82,98
산일전기,0.755,0.6172,0.7864,0.8638,2.26,865
비에이치아이,0.7454,0.8815,0.7124,0.6444,1.28,294
한국카본,0.743,0.7752,0.7456,0.7105,1.06,176
유진테크,0.7425,0.7643,0.7018,0.7636,2.1,482
테스,0.7421,0.5654,0.7497,0.9135,2.59,852
알멕,0.7415,0.8924,0.5224,0.812,2.08,134
한솔케미칼,0.7414,0.8134,0.7256,0.6873,1.84,243
이수스페셜티케미컬,0.7408,0.6362,0.7211,0.8672,1.72,183
어보브반도체,0.7389,0.9973,0.7174,0.5041,0.44,42
미래나노텍,0.7378,0.9523,0.7196,0.5436,0.53,10
ISC,0.7367,0.9101,0.6932,0.609,2.46,657
메디아나,0.7366,0.9796,0.6908,0.5416,1.81,22
대한전선,0.7353,0.6866,0.7027,0.8188,2.36,2163
파미셀,0.7334,0.7016,0.8217,0.6792,1,107
HPSP,0.7329,0.9632,0.7739,0.4639,1.28,4393
효성,0.7316,0.5368,0.7189,0.9414,2.21,96
고려아연,0.7313,0.8774,0.7064,0.6124,1.17,291
SK텔레콤,0.7299,0.906,0.6177,0.6683,1.9,2428
티에스이,0.7295,0.5341,0.6785,0.9782,3.02,343
아이티센글로벌,0.7281,0.6935,0.7471,0.7459,1.2,136
동진쎄미켐,0.7271,0.9741,0.6726,0.5368,1.27,593
삼성물산,0.7271,0.7875,0.682,0.7139,1.95,3020
넥스틸,0.7267,0.7997,0.7408,0.6417,0.86,64
HD현대중공업,0.7265,0.8106,0.6734,0.6975,1.05,3194
와이엠티,0.7261,0.9578,0.5967,0.626,0.89,34
HD현대,0.725,0.8093,0.6166,0.7514,1.73,507
삼지전자,0.7249,0.6567,0.7164,0.8038,3.09,283
세진중공업,0.7228,0.8025,0.7585,0.6097,0.81,32
LG씨엔에스,0.7212,0.9864,0.635,0.5443,0.56,3757
제주반도체,0.7206,0.8079,0.7088,0.6471,2.75,3895
PS일렉트로닉스,0.7202,0.6185,0.7146,0.8297,1.88,344
티씨케이,0.72,0.6608,0.7351,0.7663,2.14,232
삼양식품,0.72,0.9469,0.7867,0.4285,0.51,733
대원강업,0.7193,0.9946,0.7084,0.4571,0.86,56
RF시스템즈,0.7189,0.9278,0.6253,0.6056,1.65,41
와이지-원,0.7185,0.9837,0.6024,0.5715,1.96,134
다원넥스뷰,0.7151,0.9537,0.6823,0.5116,1.89,25
나우IB,0.715,0.9932,0.5076,0.6465,0.9,43
씨어스,0.7108,0.7398,0.512,0.8828,2.73,113
수산세보틱스,0.7106,0.8733,0.6992,0.5613,1.08,48
일동제약,0.7081,0.9251,0.5255,0.6757,1.16,39
엠디바이스,0.7079,0.7684,0.6837,0.6737,1.08,29
HD한국조선해양,0.7075,0.8747,0.7269,0.5232,0.55,1225
원익,0.7072,0.8651,0.6906,0.5681,0.74,19
케이씨텍,0.706,0.8297,0.6979,0.5926,1.99,139
우주일렉트로,0.705,0.9687,0.7103,0.438,0.59,27
LG전자,0.7047,0.6403,0.6218,0.8542,2.62,12158
한올바이오파마,0.7045,0.9087,0.5937,0.6131,1.24,392
삼성E&A,0.703,0.7302,0.7373,0.6437,1.86,1063
팬오션,0.7029,0.9401,0.585,0.5858,1.26,158
DL이앤씨,0.7023,0.9728,0.6286,0.5075,1.01,463
