종목명,ROE,최종점수
핸디소프트,0.82,0.49
우리금융지주,8.53,5.12
국민은행,9.82,5.89
두산건설,3.62,2.17
씨아이에스,5.66,3.40
미래에셋증권,11.74,7.05
삼성물산,6.79,4.08
하나은행,10.43,6.26
정다운,4.62,2.77
판타지오,-18.79,-11.28
SK,4.15,2.49
신성이엔지,-3.51,-2.11
패션플랫폼,3.45,2.07
GRT,9.22,5.53
나무기술,-4.06,-2.44
본느,-44.04,-26.43
로스웰,7.17,4.30
자비스,-16.65,-9.99
한국비엔씨,0.85,0.51
포인트엔지니어링,-8.88,-5.33
소프트캠프,23.93,14.36
알로이스,8.17,4.90
크리스탈신소재,-0.37,-0.22
카이노스메드,-169.12,-101.47
우진,4.57,2.74
삼화콘덴서공업,4.51,2.71
우진플라임,2.08,1.25
삼보판지,4.75,2.85
서연이화,4.96,2.97
러셀,-9.51,-5.70
컬러레이,-0.30,-0.18
특수건설,-20.70,-12.42
오가닉티코스메틱,-29.81,-17.88
세동,14.60,8.76
성광벤드,6.27,3.76
에스에이티,0.46,0.28
극동유화,0.56,0.34
세코닉스,3.51,2.11
티로보틱스,-88.25,-52.95
일진홀딩스,7.77,4.66
하나기술,-5.77,-3.46
제일파마홀딩스,7.39,4.43
팅크웨어,-9.78,-5.87
레이크머티리얼즈,5.74,3.45
인텔리안테크,2.80,1.68
라파스,-15.44,-9.26
아이디피,14.89,8.94
씨앤에스자산관리,17.06,10.24
엠로,2.65,1.59
액트로,10.00,6.00
잘만테크,1.29,0.77
미래컴퍼니,-24.66,-14.79
동일금속,3.23,1.94
아바코,12.91,7.75
큐에스아이,2.88,1.73
프리시젼바이오,-30.59,-18.35
영림원소프트랩,11.83,7.10
원준,-12.42,-7.45
코스메카코리아,17.20,10.32
한일화학,-23.33,-14.00
디에스케이,-17.10,-10.26
화승코퍼레이션,24.63,14.78
로보티즈,1.69,1.01
뷰웍스,8.41,5.05
원림,3.26,1.95
티에이치엔,30.35,18.21
삼륭물산,10.64,6.38
카페24,14.69,8.81
웰크론,-81.39,-48.84
알비더블유,-5.66,-3.40
퀀타매트릭스,-48.64,-29.19
이지스밸류플러스리츠,3.27,1.96
동원금속,15.92,9.55
아스플로,-21.42,-12.85
쿠쿠홀딩스,10.99,6.59
풍원정밀,-191.25,-114.75
한국전자홀딩스,-5.24,-3.14
효성오앤비,3.65,2.19
금비,2.88,1.73
나인테크,-17.16,-10.30
이삭엔지니어링,-25.74,-15.44
바디텍메드,9.78,5.87
하이즈항공,5.23,3.14
SV인베스트먼트,-7.40,-4.44
화승알앤에이,10.93,6.56
세영디앤씨,-44.63,-26.78
제이알글로벌리츠,1.36,0.82
황금에스티,4.88,2.93
세원정공,6.85,4.11
비씨엔씨,1.46,0.88
케이씨티시,6.97,4.18
쿠쿠홈시스,10.61,6.36
에이스토리,-14.80,-8.88
레이,0.62,0.37
방림,3.61,2.16
진로발효,13.32,7.99
전방,13.10,7.86
금강철강,-0.14,-0.08
태경케미컬,5.07,3.04
오디텍,0.69,0.41
경방,5.84,3.50
로체시스템즈,8.90,5.34
한국화장품,3.41,2.04
한국컴퓨터,12.49,7.50
유성기업,-7.76,-4.66
큐브엔터,-3.64,-2.18
NEW,0.43,0.26
제일테크노스,7.17,4.30
JYP Ent.,25.69,15.42
KG케미칼,6.20,3.72
코리아써키트,6.80,4.08
한일홀딩스,2.64,1.58
서진오토모티브,-5.55,-3.33
유비쿼스홀딩스,8.76,5.26
슈프리마,11.94,7.17
제이에스코퍼레이션,16.26,9.75
네오위즈홀딩스,8.52,5.11
SNT모티브,6.82,4.09
조광페인트,-4.88,-2.93
네오셈,4.48,2.69
엘오티베큠,-3.19,-1.92
신원,-0.72,-0.43
풍강,1.10,0.66
SH에너지화학,-15.47,-9.28
대양전기공업,9.21,5.53
플랜티넷,2.35,1.41
이노메트리,-7.21,-4.33
에스피지,3.54,2.12
파버나인,-5.73,-3.44
하림,11.90,7.14
바이오플러스,10.26,6.15
에프엔에스테크,10.47,6.28
일신방직,3.57,2.14
KB오토시스,3.27,1.96
그리티,5.62,3.37
샘표,5.21,3.13
아세아제지,3.50,2.10
인터플렉스,10.33,6.20
예스티,0.49,0.29
크라운해태홀딩스,5.54,3.32
에스에이엠티,15.60,9.36
인지소프트,30.76,18.46
에프에스티,-5.91,-3.55
웹스,10.17,6.10
프로텍,9.99,5.99
에프엔씨엔터,-60.52,-36.31
슈프리마에이치큐,5.54,3.32
메리츠금융지주,20.87,12.52
STX,336.58,201.95
신흥에스이씨,-1.64,-0.99
LS,6.32,3.79
KH바텍,7.40,4.44
천보,-12.84,-7.70
우원개발,30.60,18.36
대상홀딩스,-22.45,-13.47
씨유테크,1.19,0.72
원티드랩,3.33,2.00
제이엠티,8.65,5.19
웹젠,3.44,2.06
시노펙스,4.17,2.50
티쓰리,18.61,11.17
성도이엔지,10.27,6.16
에스티아이,5.37,3.22
한국씨티은행,5.52,3.31
대구백화점,-23.70,-14.22
알에스오토메이션,-6.83,-4.10
오픈베이스,7.71,4.62
송원산업,0.31,0.18
인포뱅크,-6.95,-4.17
빅솔론,8.13,4.88
핌스,-18.35,-11.01
한국단자공업,9.14,5.48
와이엠씨,0.90,0.54
브이씨,-8.68,-5.21
파워넷,6.38,3.83
두산밥캣,5.64,3.39
SK리츠,1.66,1.00
쎄니트,-6.04,-3.63
대성하이텍,-9.87,-5.92
태양금속공업,1.83,1.10
성신양회,4.39,2.63
에스제이그룹,-8.99,-5.39
ESR켄달스퀘어리츠,-0.29,-0.18
진성티이씨,10.97,6.58
영화테크,20.54,12.32
헝셩그룹,-1.20,-0.72
원익피앤이,0.89,0.54
우진아이엔에스,9.40,5.64
덕성,5.63,3.38
상아프론테크,3.32,1.99
가온칩스,-26.27,-15.76
램테크놀러지,-21.06,-12.64
아세아시멘트,1.49,0.90
호텔신라,-15.63,-9.38
선익시스템,67.12,40.27
