종목명,ROE,PBR,최종점수
SK하이닉스,35.59,1.00,61.36
한화엔진,31.24,1.00,58.75
한미반도체,31.00,1.00,58.60
이수페타시스,21.22,1.00,52.73
한화오션,20.18,1.00,52.11
GST,14.96,1.00,48.98
LG씨엔에스,14.93,1.00,48.96
삼성E&A,14.58,1.00,48.75
한화에어로스페이스,13.12,1.00,47.87
삼성중공업,13.08,1.00,47.85
흥아해운,11.67,1.00,47.00
삼성전자,10.36,1.00,46.22
삼성전자,10.36,1.00,46.22
하나마이크론,10.05,1.00,46.03
한국항공우주,9.87,1.00,45.92
한양디지텍,8.81,1.00,45.29
이오테크닉스,8.37,1.00,45.02
삼성에스디에스,7.63,1.00,44.58
삼성전기,7.46,1.00,44.48
삼성전기,7.46,1.00,44.48
HMM,7.07,1.00,44.24
신성델타테크,6.78,1.00,44.07
주성엔지니어링,6.05,1.00,43.63
두산밥캣,5.64,1.00,43.39
대덕전자,5.31,1.00,43.18
HD건설기계,4.51,1.00,42.71
에코프로에이치엔,4.34,1.00,42.60
LG전자,4.27,1.00,42.56
세아베스틸지주,2.87,1.00,41.72
S-Oil,1.99,1.00,41.19
에코아이,1.42,1.00,40.85
LG에너지솔루션,0.28,1.00,40.17
스피어,0.27,1.00,40.16
삼성SDI,-2.48,1.00,38.51
OCI홀딩스,-3.09,1.00,38.15
DS단석,-4.47,1.00,37.32
서진시스템,-13.88,1.00,31.67
SK이노베이션,-14.94,1.00,31.04
케이엔솔,-43.92,1.00,13.65
성일하이텍,-52.26,1.00,8.65
